season,team,rpi
2006,Wichita St ,0.599
2006,N Iowa ,0.599
2006,Marquette ,0.599
2006,Geo Mason ,0.599
2006,Georgetown ,0.598
2006,S Illinois ,0.598
2006,Hofstra ,0.596
2006,Boston Col ,0.594
2006,Geo Wshgtn ,0.594
2006,Washington ,0.594
2006,W Virginia ,0.594
2006,Bradley ,0.594
2006,Kentucky ,0.593
2006,Kansas ,0.592
2006,Indiana ,0.592
2006,Cincinnati ,0.591
2006,Creighton ,0.590
2006,NC State ,0.589
2006,UAB ,0.589
2006,Maryland ,0.587
2006,Arkansas ,0.587
2006,St Josephs ,0.585
2006,Michigan ,0.585
2006,Alabama ,0.584
2006,Texas A&M ,0.584
2006,Bucknell ,0.582
2006,Air Force ,0.580
2006,WI-Milwkee ,0.578
2006,W Kentucky ,0.578
2006,Houston ,0.578
2006,Colorado ,0.577
2006,Utah State ,0.576
2006,Seton Hall ,0.574
2006,California ,0.573
2006,Kent State ,0.571
2006,San Diego St ,0.569
2006,Montana ,0.569
2006,Florida St ,0.568
2006,Akron ,0.567
2006,Iona ,0.566
2006,LA Tech ,0.566
2006,BYU ,0.565
2006,S Alabama ,0.565
2006,Murray St ,0.565
2006,Vanderbilt ,0.565
2006,NW State ,0.565
2006,Old Dominion ,0.563
2006,Louisville ,0.563
2006,Temple ,0.562
2006,Winthrop ,0.558
2006,Virginia ,0.557
2006,TX El Paso ,0.557
2006,Rutgers ,0.557
2006,S Carolina ,0.556
2006,VCU ,0.556
2006,Minnesota ,0.556
2006,Clemson ,0.555
2006,Miami (FL) ,0.552
2006,Miami (OH) ,0.551
2006,Butler ,0.551
2006,Oklahoma St ,0.548
2006,Xavier ,0.547
2006,Manhattan ,0.547
2006,UNLV ,0.547
2006,Stanford ,0.546
2006,DePaul ,0.546
2006,Notre Dame ,0.543
2006,Northeastrn ,0.543
2006,Ohio ,0.542
2006,Iowa State ,0.542
2006,Pacific ,0.541
2006,U Penn ,0.541
2006,Northwestern ,0.541
2006,Wake Forest ,0.541
2006,N Mex State ,0.540
2006,Hawaii ,0.540
2006,Davidson ,0.538
2006,La Salle ,0.537
2006,Saint Louis ,0.537
2006,Penn State ,0.537
2006,Georgia ,0.535
2006,Marist ,0.535
2006,Samford ,0.535
2006,Nebraska ,0.534
2006,Kansas St ,0.534
2006,Providence ,0.534
2006,Charlotte ,0.531
2006,Miss State ,0.531
2006,Auburn ,0.530
2006,Holy Cross ,0.529
2006,Sam Hous St ,0.529
2006,Belmont ,0.528
2006,Middle Tenn ,0.528
2006,USC ,0.527
2006,Fresno St ,0.525
2006,N Arizona ,0.525
2006,New Mexico ,0.524
2006,St Marys ,0.524
2006,Delaware St ,0.524
2006,Coastal Car ,0.523
2006,Oral Roberts ,0.522
2006,N Illinois ,0.521
2006,Siena ,0.521
2006,Albany ,0.520
2006,Buffalo ,0.520
2006,St Peters ,0.519
2006,Drexel ,0.519
2006,U Mass ,0.519
2006,Fordham ,0.518
2006,Texas Tech ,0.517
2006,St Johns ,0.517
2006,IL-Chicago ,0.516
2006,TN Tech ,0.514
2006,Missouri ,0.514
2006,Loyola-Chi ,0.513
2006,Lipscomb ,0.512
2006,LA Lafayette ,0.512
2006,Oregon ,0.512
2006,VA Tech ,0.511
2006,Southern ,0.511
2006,E Washingtn ,0.511
2006,Monmouth ,0.510
2006,San Diego ,0.509
2006,F Dickinson ,0.509
2006,Loyola Mymt ,0.507
2006,Utah ,0.507
2006,Lehigh ,0.507
2006,Colorado St ,0.505
2006,Rhode Island ,0.505
2006,Mississippi ,0.504
2006,GA Tech ,0.503
2006,Gard-Webb ,0.502
2006,Austin Peay ,0.501
2006,IUPUI ,0.501
2006,Sac State ,0.500
2006,Baylor ,0.500
2006,Bham Southern ,0.500
2006,GA Southern ,0.500
2006,Toledo ,0.500
2006,Indiana St ,0.499
2006,UC Irvine ,0.498
2006,Lg Beach St ,0.497
2006,High Point ,0.496
2006,Central Conn ,0.495
2006,Chattanooga ,0.494
2006,Wash State ,0.493
2006,Loyola-MD ,0.492
2006,Purdue ,0.491
2006,Elon ,0.490
2006,Denver ,0.490
2006,Wyoming ,0.489
2006,Boise State ,0.489
2006,Oregon St ,0.489
2006,Drake ,0.488
2006,Arizona St ,0.488
2006,Detroit ,0.488
2006,Wright State ,0.487
2006,Jksnville St ,0.486
2006,Dayton ,0.484
2006,Santa Clara ,0.484
2006,San Fransco ,0.483
2006,Col Charlestn ,0.483
2006,WI-Grn Bay ,0.482
2006,Binghamton ,0.482
2006,Central FL ,0.481
2006,SE Louisiana ,0.480
2006,Valparaiso ,0.479
2006,Radford ,0.479
2006,Lamar ,0.479
2006,Evansville ,0.478
2006,E Kentucky ,0.476
2006,W Michigan ,0.476
2006,Princeton ,0.475
2006,Portland St ,0.475
2006,TX-Arlington ,0.474
2006,McNeese St ,0.473
2006,TX A&M-CC ,0.473
2006,Tulsa ,0.473
2006,Yale ,0.473
2006,North Texas ,0.473
2006,American ,0.472
2006,Niagara ,0.471
2006,Richmond ,0.471
2006,Rice ,0.470
2006,TN State ,0.470
2006,Cornell ,0.469
2006,Boston U ,0.469
2006,Fla Atlantic ,0.468
2006,Harvard ,0.468
2006,Tulane ,0.468
2006,Idaho State ,0.468
2006,Vermont ,0.467
2006,Coppin State ,0.467
2006,Rob Morris ,0.467
2006,AR Lit Rock ,0.467
2006,UCSB ,0.466
2006,N Dakota St ,0.465
2006,Towson ,0.465
2006,S Car State ,0.464
2006,Marshall ,0.464
2006,TN Martin ,0.463
2006,E Tenn St ,0.463
2006,Chicago St ,0.463
2006,Furman ,0.462
2006,Fairfield ,0.462
2006,Arkansas St ,0.461
2006,Mt St Marys ,0.461
2006,App State ,0.460
2006,Illinois St ,0.460
2006,Charl South ,0.460
2006,CS Fullerton ,0.460
2006,Wagner ,0.460
2006,S Florida ,0.459
2006,Delaware ,0.457
2006,NC-Asheville ,0.456
2006,Portland ,0.456
2006,Ste F Austin ,0.455
2006,Montana St ,0.455
2006,Jackson St ,0.454
2006,Georgia St ,0.454
2006,S Mississippi ,0.454
2006,Troy ,0.454
2006,Cleveland St ,0.453
2006,Norfolk St ,0.453
2006,Rider ,0.452
2006,Pepperdine ,0.452
2006,N Hampshire ,0.451
2006,Kennesaw St ,0.450
2006,New Orleans ,0.449
2006,Ball State ,0.449
2006,Florida A&M ,0.448
2006,Canisius ,0.448
2006,Bowling Grn ,0.448
2006,Alab A&M ,0.447
2006,TX-San Ant ,0.447
2006,LA Monroe ,0.447
2006,Quinnipiac ,0.446
2006,Lafayette ,0.444
2006,Weber State ,0.443
2006,S Methodist ,0.443
2006,Sacred Hrt ,0.443
2006,UMKC ,0.443
2006,Stetson ,0.442
2006,San Jose St ,0.442
2006,Wm & Mary ,0.441
2006,W Carolina ,0.441
2006,Hartford ,0.439
2006,St Fran (NY) ,0.438
2006,Alabama St ,0.437
2006,Grambling St ,0.436
2006,Beth-Cook ,0.435
2006,LIU-Brooklyn ,0.435
2006,Brown ,0.435
2006,Florida Intl ,0.433
2006,S Dakota St ,0.433
2006,Cal Poly ,0.431
2006,Utah Val St ,0.430
2006,NC-Grnsboro ,0.430
2006,Maine ,0.430
2006,Cal St Nrdge ,0.429
2006,TX Christian ,0.427
2006,Oakland ,0.427
2006,Colgate ,0.426
2006,Wofford ,0.425
2006,St Bonavent ,0.423
2006,IPFW ,0.421
2006,Columbia ,0.421
2006,Campbell ,0.419
2006,Nicholls St ,0.417
2006,Miss Val St ,0.415
2006,Navy ,0.415
2006,Hampton ,0.415
2006,UC Davis ,0.414
2006,Ark Pine Bl ,0.414
2006,Maryland BC ,0.414
2006,James Mad ,0.413
2006,E Carolina ,0.412
2006,Idaho ,0.410
2006,Alcorn State ,0.406
2006,S Utah ,0.405
2006,Mercer ,0.404
2006,Youngs St ,0.404
2006,E Michigan ,0.404
2006,TX Southern ,0.402
2006,Duquesne ,0.401
2006,E Illinois ,0.397
2006,Stony Brook ,0.397
2006,Dartmouth ,0.396
2006,UC Riverside ,0.393
2006,SE Missouri ,0.391
2006,Longwood ,0.390
2006,Central Mich ,0.387
2006,Citadel ,0.387
2006,Liberty ,0.386
2006,VA Military ,0.383
2006,W Illinois ,0.383
2006,Maryland ES ,0.379
2006,Army ,0.377
2006,Morehead St ,0.377
2006,St Fran (PA) ,0.375
2006,Centenary ,0.373
2006,NC A&T ,0.372
2006,Howard ,0.371
2006,Texas State ,0.370
2006,N Colorado ,0.370
2006,Morgan St ,0.364
2006,TX-Pan Am ,0.363
2006,Jacksonville ,0.352
2006,N Florida ,0.342
2006,Savannah St ,0.332
2006,Prairie View ,0.330
2007,Ohio State ,0.663
2007,UCLA ,0.658
2007,N Carolina ,0.657
2007,Pittsburgh ,0.650
2007,Wisconsin ,0.647
2007,S Illinois ,0.641
2007,Florida ,0.637
2007,Memphis ,0.636
2007,UNLV ,0.631
2007,Georgetown ,0.631
2007,Tennessee ,0.628
2007,Kentucky ,0.626
2007,Kansas ,0.625
2007,Arizona ,0.624
2007,Texas A&M ,0.621
2007,Duke ,0.619
2007,Maryland ,0.618
2007,BYU ,0.615
2007,Villanova ,0.614
2007,Creighton ,0.613
2007,Oregon ,0.606
2007,Michigan St ,0.606
2007,Marquette ,0.605
2007,Nevada ,0.605
2007,VA Tech ,0.603
2007,Texas ,0.600
2007,Butler ,0.598
2007,Wash State ,0.598
2007,Boston Col ,0.598
2007,Illinois ,0.596
2007,Air Force ,0.595
2007,Xavier ,0.595
2007,Notre Dame ,0.594
2007,Missouri St ,0.591
2007,Louisville ,0.590
2007,Bradley ,0.590
2007,Indiana ,0.590
2007,Arkansas ,0.590
2007,Drexel ,0.589
2007,Old Dominion ,0.588
2007,USC ,0.588
2007,Purdue ,0.588
2007,Florida St ,0.588
2007,Utah State ,0.586
2007,Oklahoma St ,0.586
2007,Clemson ,0.585
2007,VCU ,0.584
2007,Alabama ,0.583
2007,Vanderbilt ,0.583
2007,Texas Tech ,0.583
2007,Davidson ,0.582
2007,Syracuse ,0.582
2007,GA Tech ,0.581
2007,Virginia ,0.580
2007,Michigan ,0.580
2007,Kansas St ,0.578
2007,Mississippi ,0.578
2007,Miss State ,0.576
2007,W Virginia ,0.576
2007,Gonzaga ,0.575
2007,U Mass ,0.574
2007,App State ,0.574
2007,Akron ,0.574
2007,Holy Cross ,0.573
2007,San Diego St ,0.572
2007,Stanford ,0.570
2007,Georgia ,0.569
2007,DePaul ,0.568
2007,Winthrop ,0.566
2007,Wright State ,0.562
2007,N Mex State ,0.562
2007,Geo Wshgtn ,0.562
2007,Hofstra ,0.561
2007,Saint Louis ,0.559
2007,Dayton ,0.558
2007,Providence ,0.557
2007,Vermont ,0.557
2007,Bucknell ,0.555
2007,Washington ,0.554
2007,California ,0.554
2007,N Iowa ,0.553
2007,TX A&M-CC ,0.552
2007,Kent State ,0.552
2007,Fresno St ,0.552
2007,LSU ,0.551
2007,Houston ,0.551
2007,Oral Roberts ,0.551
2007,Lg Beach St ,0.550
2007,U Penn ,0.550
2007,Missouri ,0.548
2007,Albany ,0.548
2007,Toledo ,0.546
2007,Iowa ,0.545
2007,St Josephs ,0.543
2007,W Kentucky ,0.542
2007,Hawaii ,0.542
2007,Santa Clara ,0.542
2007,NC State ,0.541
2007,Wichita St ,0.541
2007,Oklahoma ,0.540
2007,Nebraska ,0.540
2007,Loyola-Chi ,0.539
2007,Miami (OH) ,0.538
2007,Rhode Island ,0.537
2007,Marist ,0.536
2007,Colorado St ,0.535
2007,Ohio ,0.535
2007,S Carolina ,0.534
2007,Connecticut ,0.533
2007,Auburn ,0.532
2007,Boise State ,0.532
2007,Delaware St ,0.531
2007,Belmont ,0.530
2007,Fordham ,0.530
2007,Drake ,0.530
2007,Col Charlestn ,0.530
2007,Sam Hous St ,0.530
2007,Tulsa ,0.528
2007,Austin Peay ,0.527
2007,Central FL ,0.526
2007,Wyoming ,0.525
2007,Geo Mason ,0.525
2007,Wake Forest ,0.525
2007,E Tenn St ,0.524
2007,Oakland ,0.522
2007,S Alabama ,0.518
2007,E Kentucky ,0.517
2007,S Mississippi ,0.516
2007,Siena ,0.516
2007,St Johns ,0.516
2007,Utah Val St ,0.516
2007,Utah ,0.514
2007,Evansville ,0.513
2007,UAB ,0.512
2007,Niagara ,0.511
2007,North Texas ,0.510
2007,Cal Poly ,0.510
2007,Baylor ,0.510
2007,Illinois St ,0.509
2007,Iowa State ,0.509
2007,Indiana St ,0.509
2007,Yale ,0.508
2007,Weber State ,0.507
2007,TN Tech ,0.506
2007,Charlotte ,0.504
2007,Central Conn ,0.503
2007,Tulane ,0.503
2007,CS Fullerton ,0.503
2007,W Michigan ,0.502
2007,N Arizona ,0.502
2007,Sacred Hrt ,0.501
2007,UCSB ,0.500
2007,St Marys ,0.499
2007,Seton Hall ,0.498
2007,Fla Atlantic ,0.498
2007,Miami (FL) ,0.498
2007,Towson ,0.498
2007,IL-Chicago ,0.497
2007,Rice ,0.497
2007,N Dakota St ,0.497
2007,Middle Tenn ,0.495
2007,San Fransco ,0.494
2007,Arkansas St ,0.494
2007,Valparaiso ,0.493
2007,New Mexico ,0.493
2007,Marshall ,0.493
2007,NW State ,0.493
2007,Cornell ,0.491
2007,WI-Grn Bay ,0.491
2007,Youngs St ,0.490
2007,Northwestern ,0.490
2007,Samford ,0.489
2007,UC Irvine ,0.489
2007,Cincinnati ,0.489
2007,Loyola-MD ,0.487
2007,American ,0.487
2007,Lipscomb ,0.487
2007,San Diego ,0.486
2007,Murray St ,0.486
2007,TX Christian ,0.486
2007,Jackson St ,0.486
2007,Temple ,0.485
2007,Florida A&M ,0.485
2007,Northeastrn ,0.484
2007,High Point ,0.482
2007,Minnesota ,0.481
2007,E Washingtn ,0.481
2007,Loyola Mymt ,0.481
2007,Miss Val St ,0.480
2007,LA Tech ,0.480
2007,Harvard ,0.480
2007,Idaho State ,0.480
2007,S Florida ,0.479
2007,Detroit ,0.479
2007,Portland St ,0.479
2007,Furman ,0.478
2007,Penn State ,0.478
2007,Wm & Mary ,0.478
2007,Fairfield ,0.478
2007,Oregon St ,0.477
2007,Rider ,0.477
2007,LA Monroe ,0.476
2007,Jacksonville ,0.476
2007,Columbia ,0.476
2007,Pacific ,0.475
2007,Rob Morris ,0.473
2007,S Methodist ,0.473
2007,NC-Grnsboro ,0.473
2007,TX El Paso ,0.471
2007,Boston U ,0.471
2007,S Utah ,0.470
2007,Chicago St ,0.470
2007,IUPUI ,0.469
2007,Maryland BC ,0.468
2007,Rutgers ,0.466
2007,Lamar ,0.466
2007,New Orleans ,0.466
2007,Chattanooga ,0.465
2007,Duquesne ,0.465
2007,Montana ,0.464
2007,Hampton ,0.464
2007,Arizona St ,0.464
2007,Troy ,0.463
2007,Hartford ,0.463
2007,Central Mich ,0.462
2007,Army ,0.462
2007,Brown ,0.462
2007,AR Lit Rock ,0.461
2007,SE Louisiana ,0.461
2007,Manhattan ,0.460
2007,Navy ,0.460
2007,Georgia St ,0.459
2007,F Dickinson ,0.457
2007,McNeese St ,0.455
2007,Colorado ,0.454
2007,Buffalo ,0.454
2007,WI-Milwkee ,0.454
2007,E Michigan ,0.454
2007,Quinnipiac ,0.454
2007,Lehigh ,0.452
2007,GA Southern ,0.452
2007,IPFW ,0.449
2007,Bowling Grn ,0.449
2007,Coppin State ,0.449
2007,W Carolina ,0.448
2007,Ste F Austin ,0.448
2007,Maine ,0.447
2007,Canisius ,0.447
2007,Cal St Nrdge ,0.446
2007,NC-Asheville ,0.446
2007,Florida Intl ,0.446
2007,San Jose St ,0.446
2007,Binghamton ,0.444
2007,TX-Arlington ,0.443
2007,Dartmouth ,0.443
2007,Mt St Marys ,0.443
2007,N Hampshire ,0.442
2007,UMKC ,0.442
2007,Monmouth ,0.441
2007,TN State ,0.441
2007,Colgate ,0.440
2007,NC-Wilmgton ,0.439
2007,Pepperdine ,0.437
2007,Cleveland St ,0.437
2007,Gard-Webb ,0.437
2007,Princeton ,0.436
2007,La Salle ,0.435
2007,Ark Pine Bl ,0.435
2007,LA Lafayette ,0.434
2007,Coastal Car ,0.434
2007,Richmond ,0.433
2007,NC A&T ,0.433
2007,Kennesaw St ,0.432
2007,Campbell ,0.431
2007,TX Southern ,0.430
2007,Ball State ,0.430
2007,Mercer ,0.430
2007,St Bonavent ,0.429
2007,Portland ,0.429
2007,Savannah St ,0.428
2007,Stony Brook ,0.426
2007,St Fran (NY) ,0.425
2007,Lafayette ,0.425
2007,Liberty ,0.425
2007,Norfolk St ,0.425
2007,Montana St ,0.424
2007,Stetson ,0.424
2007,Grambling St ,0.424
2007,Southern ,0.423
2007,Centenary ,0.420
2007,Nicholls St ,0.420
2007,SE Missouri ,0.420
2007,S Car State ,0.419
2007,TX-Pan Am ,0.419
2007,Morehead St ,0.418
2007,Wofford ,0.418
2007,Wagner ,0.417
2007,Elon ,0.417
2007,VA Military ,0.416
2007,James Mad ,0.415
2007,N Illinois ,0.414
2007,Morgan St ,0.413
2007,Sac State ,0.413
2007,Wins-Salem ,0.410
2007,Idaho ,0.409
2007,Delaware ,0.409
2007,Citadel ,0.406
2007,Longwood ,0.405
2007,E Illinois ,0.404
2007,LIU-Brooklyn ,0.403
2007,Central Ark ,0.402
2007,Alabama St ,0.399
2007,E Carolina ,0.399
2007,UC Davis ,0.398
2007,Jksnville St ,0.398
2007,UC Riverside ,0.397
2007,TN Martin ,0.390
2007,TX-San Ant ,0.390
2007,Radford ,0.389
2007,Alcorn State ,0.389
2007,St Fran (PA) ,0.384
2007,Texas State ,0.382
2007,Beth-Cook ,0.381
2007,Howard ,0.381
2007,Prairie View ,0.379
2007,Iona ,0.378
2007,W Illinois ,0.372
2007,S Dakota St ,0.371
2007,St Peters ,0.371
2007,Charl South ,0.365
2007,NJIT ,0.364
2007,Maryland ES ,0.352
2007,Alab A&M ,0.351
2007,N Florida ,0.350
2007,Denver ,0.350
2007,N Colorado ,0.342
2008,Tennessee ,0.686
2008,N Carolina ,0.672
2008,Memphis ,0.666
2008,Duke ,0.653
2008,Texas ,0.653
2008,UCLA ,0.646
2008,Georgetown ,0.645
2008,Kansas ,0.642
2008,Xavier ,0.638
2008,Vanderbilt ,0.634
2008,Louisville ,0.630
2008,Drake ,0.629
2008,Wisconsin ,0.625
2008,Connecticut ,0.620
2008,Michigan St ,0.618
2008,Stanford ,0.611
2008,Indiana ,0.611
2008,Butler ,0.610
2008,Notre Dame ,0.608
2008,Wash State ,0.606
2008,Clemson ,0.604
2008,Marquette ,0.602
2008,BYU ,0.601
2008,S Alabama ,0.599
2008,Oklahoma ,0.599
2008,Pittsburgh ,0.599
2008,Kent State ,0.598
2008,Gonzaga ,0.598
2008,UNLV ,0.596
2008,Arizona ,0.593
2008,Miami (FL) ,0.593
2008,Illinois St ,0.590
2008,Dayton ,0.590
2008,USC ,0.590
2008,Davidson ,0.589
2008,W Virginia ,0.589
2008,Purdue ,0.589
2008,St Marys ,0.588
2008,Baylor ,0.588
2008,Miss State ,0.587
2008,U Mass ,0.586
2008,Kansas St ,0.586
2008,Arkansas ,0.584
2008,Mississippi ,0.583
2008,Syracuse ,0.580
2008,W Kentucky ,0.579
2008,Texas A&M ,0.578
2008,Ohio State ,0.578
2008,Oregon ,0.578
2008,Kentucky ,0.578
2008,UAB ,0.578
2008,Creighton ,0.574
2008,New Mexico ,0.573
2008,St Josephs ,0.572
2008,Villanova ,0.570
2008,VCU ,0.569
2008,VA Tech ,0.567
2008,Ste F Austin ,0.567
2008,Temple ,0.566
2008,Florida St ,0.566
2008,S Illinois ,0.565
2008,Texas Tech ,0.565
2008,Oral Roberts ,0.564
2008,Rhode Island ,0.561
2008,Maryland ,0.560
2008,Geo Mason ,0.560
2008,Houston ,0.560
2008,Florida ,0.560
2008,Cornell ,0.560
2008,Ohio ,0.559
2008,Cleveland St ,0.559
2008,Utah State ,0.557
2008,GA Tech ,0.556
2008,Arizona St ,0.555
2008,IUPUI ,0.555
2008,Nevada ,0.554
2008,Miami (OH) ,0.553
2008,Siena ,0.552
2008,UCSB ,0.552
2008,Belmont ,0.550
2008,San Diego St ,0.550
2008,Oklahoma St ,0.549
2008,Wright State ,0.549
2008,Akron ,0.548
2008,Austin Peay ,0.548
2008,Charlotte ,0.548
2008,Wake Forest ,0.545
2008,Maryland BC ,0.544
2008,Sam Hous St ,0.543
2008,CS Fullerton ,0.542
2008,American ,0.542
2008,NC State ,0.541
2008,California ,0.541
2008,Valparaiso ,0.540
2008,Providence ,0.538
2008,Portland St ,0.538
2008,San Diego ,0.538
2008,Nebraska ,0.536
2008,TX El Paso ,0.536
2008,Winthrop ,0.536
2008,Minnesota ,0.536
2008,Seton Hall ,0.536
2008,Boise State ,0.536
2008,Bradley ,0.535
2008,Missouri ,0.534
2008,Brown ,0.534
2008,Cal St Nrdge ,0.534
2008,Virginia ,0.534
2008,Washington ,0.533
2008,Marist ,0.533
2008,Utah ,0.532
2008,Rider ,0.532
2008,Duquesne ,0.532
2008,Cincinnati ,0.532
2008,Richmond ,0.531
2008,S Mississippi ,0.530
2008,Niagara ,0.530
2008,W Michigan ,0.528
2008,Alabama ,0.527
2008,Wagner ,0.526
2008,N Mex State ,0.526
2008,Saint Louis ,0.525
2008,Missouri St ,0.525
2008,Middle Tenn ,0.525
2008,Pacific ,0.525
2008,Rob Morris ,0.524
2008,N Iowa ,0.524
2008,Morgan St ,0.524
2008,Indiana St ,0.524
2008,Old Dominion ,0.524
2008,NC-Grnsboro ,0.523
2008,Tulsa ,0.523
2008,Marshall ,0.523
2008,NC-Wilmgton ,0.522
2008,Illinois ,0.522
2008,IL-Chicago ,0.520
2008,GA Southern ,0.520
2008,Boston Col ,0.519
2008,Chattanooga ,0.518
2008,Loyola-MD ,0.518
2008,E Tenn St ,0.518
2008,S Carolina ,0.517
2008,North Texas ,0.517
2008,Hampton ,0.516
2008,NC-Asheville ,0.516
2008,Penn State ,0.516
2008,Lamar ,0.515
2008,N Arizona ,0.515
2008,Georgia ,0.513
2008,WI-Grn Bay ,0.513
2008,Holy Cross ,0.512
2008,St Johns ,0.510
2008,Auburn ,0.510
2008,Wm & Mary ,0.510
2008,DePaul ,0.510
2008,App State ,0.507
2008,Jacksonville ,0.506
2008,Sacred Hrt ,0.506
2008,Central FL ,0.506
2008,LSU ,0.506
2008,New Orleans ,0.502
2008,Fordham ,0.502
2008,La Salle ,0.501
2008,Air Force ,0.500
2008,Colorado ,0.499
2008,Mt St Marys ,0.499
2008,S Florida ,0.499
2008,Iowa State ,0.498
2008,Oakland ,0.498
2008,Northeastrn ,0.498
2008,Colgate ,0.497
2008,Lafayette ,0.497
2008,Fairfield ,0.496
2008,AR Lit Rock ,0.496
2008,Tulane ,0.496
2008,LA Lafayette ,0.495
2008,WI-Milwkee ,0.495
2008,TX-Arlington ,0.495
2008,Delaware ,0.494
2008,Hartford ,0.494
2008,Michigan ,0.492
2008,Yale ,0.490
2008,Iowa ,0.490
2008,Central Mich ,0.490
2008,UC Irvine ,0.488
2008,Geo Wshgtn ,0.486
2008,SE Louisiana ,0.485
2008,Santa Clara ,0.485
2008,Weber State ,0.483
2008,Vermont ,0.481
2008,Bowling Grn ,0.481
2008,Quinnipiac ,0.480
2008,Alabama St ,0.479
2008,N Dakota St ,0.478
2008,Wofford ,0.478
2008,Murray St ,0.478
2008,Toledo ,0.477
2008,Col Charlestn ,0.477
2008,Cal Poly ,0.477
2008,Wichita St ,0.476
2008,Gard-Webb ,0.476
2008,Pepperdine ,0.476
2008,TX Christian ,0.475
2008,LIU-Brooklyn ,0.475
2008,Wyoming ,0.475
2008,Bucknell ,0.475
2008,Albany ,0.473
2008,Rutgers ,0.473
2008,TN Martin ,0.473
2008,Central Conn ,0.473
2008,Chicago St ,0.470
2008,Delaware St ,0.470
2008,TN State ,0.469
2008,Elon ,0.469
2008,Lipscomb ,0.469
2008,Army ,0.469
2008,Northwestern ,0.469
2008,NC A&T ,0.468
2008,Navy ,0.468
2008,IPFW ,0.468
2008,James Mad ,0.467
2008,Loyola-Chi ,0.466
2008,NW State ,0.465
2008,Columbia ,0.465
2008,Iona ,0.464
2008,Youngs St ,0.464
2008,McNeese St ,0.464
2008,TX-San Ant ,0.463
2008,Morehead St ,0.462
2008,Montana St ,0.461
2008,Towson ,0.461
2008,High Point ,0.461
2008,E Michigan ,0.461
2008,Fla Atlantic ,0.460
2008,Montana ,0.460
2008,Fresno St ,0.459
2008,S Utah ,0.459
2008,Hofstra ,0.459
2008,Boston U ,0.458
2008,San Jose St ,0.458
2008,Troy ,0.457
2008,Lehigh ,0.457
2008,Binghamton ,0.455
2008,Florida A&M ,0.454
2008,Utah Val St ,0.454
2008,Miss Val St ,0.454
2008,Nicholls St ,0.453
2008,Drexel ,0.453
2008,Texas State ,0.453
2008,E Carolina ,0.452
2008,LA Monroe ,0.450
2008,Evansville ,0.449
2008,Idaho State ,0.448
2008,E Kentucky ,0.448
2008,Savannah St ,0.448
2008,Stetson ,0.448
2008,Liberty ,0.447
2008,Norfolk St ,0.446
2008,Florida Intl ,0.445
2008,TX A&M-CC ,0.444
2008,Samford ,0.443
2008,St Bonavent ,0.443
2008,S Methodist ,0.442
2008,Oregon St ,0.441
2008,Buffalo ,0.441
2008,U Penn ,0.440
2008,Coppin State ,0.440
2008,W Illinois ,0.438
2008,San Fransco ,0.438
2008,Denver ,0.438
2008,Manhattan ,0.436
2008,VA Military ,0.435
2008,Colorado St ,0.435
2008,N Colorado ,0.434
2008,Coastal Car ,0.434
2008,Hawaii ,0.432
2008,Central Ark ,0.432
2008,Georgia St ,0.431
2008,TX-Pan Am ,0.430
2008,TN Tech ,0.430
2008,Centenary ,0.430
2008,Jackson St ,0.430
2008,F Dickinson ,0.429
2008,E Washingtn ,0.429
2008,Alab A&M ,0.428
2008,Detroit ,0.428
2008,N Illinois ,0.427
2008,UMKC ,0.427
2008,S Car State ,0.425
2008,Arkansas St ,0.425
2008,Fla Gulf Cst ,0.424
2008,Ball State ,0.424
2008,NC Central ,0.422
2008,Monmouth ,0.421
2008,Southern ,0.421
2008,W Carolina ,0.420
2008,Rice ,0.419
2008,SE Missouri ,0.418
2008,UC Riverside ,0.417
2008,Idaho ,0.416
2008,Portland ,0.415
2008,Dartmouth ,0.415
2008,Wins-Salem ,0.414
2008,Furman ,0.412
2008,SC Upstate ,0.411
2008,N Hampshire ,0.411
2008,UC Davis ,0.411
2008,Harvard ,0.409
2008,Loyola Mymt ,0.408
2008,Radford ,0.407
2008,Campbell ,0.405
2008,St Fran (NY) ,0.403
2008,St Fran (PA) ,0.401
2008,St Peters ,0.401
2008,Mercer ,0.401
2008,Ark Pine Bl ,0.401
2008,CS Bakersfld ,0.400
2008,Canisius ,0.399
2008,Beth-Cook ,0.399
2008,TX Southern ,0.394
2008,Lg Beach St ,0.394
2008,Prairie View ,0.393
2008,Longwood ,0.392
2008,LA Tech ,0.391
2008,Kennesaw St ,0.390
2008,Stony Brook ,0.390
2008,Princeton ,0.390
2008,Maine ,0.389
2008,Charl South ,0.389
2008,Grambling St ,0.388
2008,S Dakota St ,0.388
2008,Howard ,0.385
2008,Presbyterian ,0.382
2008,Citadel ,0.370
2008,Sac State ,0.366
2008,E Illinois ,0.363
2008,Alcorn State ,0.361
2008,Maryland ES ,0.354
2008,Jksnville St ,0.351
2008,N Florida ,0.348
2008,NJIT ,0.327
2009,Pittsburgh ,0.676
2009,N Carolina ,0.662
2009,Duke ,0.661
2009,Connecticut ,0.652
2009,Oklahoma ,0.652
2009,Michigan St ,0.647
2009,Memphis ,0.641
2009,Kansas ,0.640
2009,Louisville ,0.637
2009,Wake Forest ,0.628
2009,Washington ,0.628
2009,Utah ,0.627
2009,Missouri ,0.627
2009,Villanova ,0.625
2009,Xavier ,0.624
2009,Florida St ,0.621
2009,Butler ,0.618
